seller_id,seller_total_txns,seller_disputed_txns,seller_fraud_ratio,buyer_ratings,is_safe_seller
0x86a66b19ba650dd0aed46bdca3e1c88c57011930,107,30,0.28,3.74,0
0xc9199be9f4c314691ffa023773e548a2206c675d,440,80,0.182,4.43,1
0xffd87eca6ff6c59ccde6df7bf94579f2da2817e4,865,54,0.062,3.07,1
0x92518b7e571c685a23b40113b6308d324df33244,275,22,0.08,3.24,1
0x2ac39433062eb7a7d5150f3dd209a4fc1a0baf59,111,31,0.279,4.45,0
0x9eba7d78b34ff1e37ae7a6f45818957923b271a4,76,61,0.803,4.73,0
0xf6446ee5283150b87d30ada1f4743e1d584566fd,705,73,0.104,3.73,1
0xfb4780b1fb10ee45596ae3a22353133c0eb79fe2,25,9,0.36,2.71,0
0x4ae4ac75999408d002aa1afa5f403ee25524ef13,619,99,0.16,3.88,1
0x427f6d521d4f578e1a1922cacdcfff6134538222,126,71,0.563,4.13,0
0x73a7d323233f1537ba4d31d8e8d8fb845d3c73c8,471,53,0.113,4.07,1
0xd503f12d472489b1c8004837454e093a8362305c,219,51,0.233,3.61,0
0x76d268092baf5395d88d1c92016b6f593e803d91,335,19,0.057,3.89,1
0xf8bd2a1dd756e302d5e897ca751c0c61d5f39af0,463,31,0.067,3.48,1
0xa3b7493135b257d08c3820f8b04e69847b047ebe,92,13,0.141,3.22,1
0x650cc3fdde4c01282b7566a4e20be13831cde2e3,377,49,0.13,4.53,1
0x1d206e045fd33bc447cadd047f072f886960d7b6,104,27,0.26,4.07,0
0x7b6485853a06d836b613a59e6f0cf3738817de91,876,52,0.059,3.89,1
0xe8a2035416a71f042009f57e30a34fffdf8954fb,668,23,0.034,3.64,1
0xe43245058270c788bcbba70602a84c67e5042d3d,135,78,0.578,3.87,0
0x0588494e384436358b017301607fd98fff225e70,666,21,0.032,4.11,1
0xdf832c62000157c114ad5118de54bb22f176efce,313,29,0.093,5,1
0x63aa94604d9ed812d967b2b8f4df1c5c2937cc97,774,62,0.08,4.46,1
0xbbf18070a10890aa0e14ed81a9d8b08f52540365,348,3,0.009,3.53,1
0xc0e215eab659ba1f8637d777f0ce783d466ff18d,496,76,0.153,3.54,1
0xc41dfd1eb58b0a6a21cc2992a56426bd3ef8c0d7,418,58,0.139,3.43,1
0x1bdfff33228bec5430054231783a8cf92ba4b8dc,810,86,0.106,3.86,1
0x4be24801c8f494033723393497c841195e0c76f5,390,7,0.018,3.43,1
0x089cb47743940e919ef1d083add42c22925ccfc3,196,81,0.413,4.33,0
0x53c649a3e6bce910ab4b039964ea2217ba18a56b,960,11,0.011,2.15,0
0xa2b7491a56de392581236b411e0b829a41b1ee27,281,30,0.107,4.37,1
0x422a8f2e664ed7bd915fa2680fa5f4dfde868bfc,165,77,0.467,4.19,0
0x7430d1aa4db048d89ce6d1634dba67ae289c4ea1,464,33,0.071,4.88,1
